epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.066,2.84169,4.02758,1.53852,0,0,0,0,2.87102,4.14401,1.41996,0.00021109,0.00021109,0.00021109
2,208.956,2.45236,3.30359,1.2652,0.02335,0.13585,0.02272,0.00402,2.62906,4.08777,1.32515,0.000424711,0.000424711,0.000424711
3,301.932,2.44267,2.60973,1.23348,0.02104,0.19078,0.02196,0.00615,2.60644,3.81848,1.31182,0.000629533,0.000629533,0.000629533
4,392.44,2.36041,2.1529,1.23561,0.04391,0.31843,0.07111,0.02133,2.64491,3.123,1.3412,0.000825555,0.000825555,0.000825555
5,484.263,2.28741,1.95663,1.2185,0.48328,0.13007,0.1309,0.04485,2.74771,2.31043,1.43498,0.00101278,0.00101278,0.00101278
6,574.978,2.20664,1.85362,1.19708,0.07081,0.37162,0.13506,0.03923,2.87699,2.10704,1.49931,0.00100101,0.00100101,0.00100101
7,665.975,2.19529,1.80133,1.21202,0.07657,0.43877,0.12092,0.0351,2.90955,1.98167,1.51758,0.000979013,0.000979013,0.000979013
8,757.205,2.15577,1.73964,1.19571,0.71317,0.09577,0.11604,0.03522,2.60501,1.88476,1.37699,0.000957015,0.000957015,0.000957015
9,848.313,2.10119,1.71973,1.16508,0.69911,0.10379,0.09793,0.03061,2.65797,1.81041,1.41083,0.000935018,0.000935018,0.000935018
10,939.761,2.08067,1.69873,1.16982,0.90694,0.09783,0.09556,0.02919,2.6458,1.82488,1.39862,0.00091302,0.00091302,0.00091302
11,1030.7,2.06838,1.67411,1.1698,0.73951,0.12939,0.11242,0.02794,2.77788,1.86485,1.44854,0.000891022,0.000891022,0.000891022
12,1121.95,2.05919,1.64712,1.16454,0.71469,0.20371,0.11695,0.03488,2.6128,1.74098,1.37282,0.000869024,0.000869024,0.000869024
13,1212.82,2.04621,1.62632,1.15312,0.49983,0.17138,0.11369,0.03359,2.58196,1.81012,1.35384,0.000847026,0.000847026,0.000847026
14,1304.29,2.03908,1.61472,1.14809,0.71842,0.16961,0.12537,0.03939,2.63025,1.74284,1.38009,0.000825029,0.000825029,0.000825029
15,1396.25,2.01872,1.59183,1.14543,0.71993,0.12175,0.11432,0.03629,2.59855,1.81156,1.34933,0.000803031,0.000803031,0.000803031
16,1487.6,1.99468,1.55554,1.12465,0.72603,0.16436,0.12007,0.03814,2.6124,1.76649,1.36124,0.000781033,0.000781033,0.000781033
17,1578.87,1.98626,1.57342,1.14338,0.50844,0.14591,0.11652,0.03802,2.50577,1.72722,1.32786,0.000759035,0.000759035,0.000759035
18,1670.89,1.99517,1.54822,1.13247,0.73057,0.15486,0.11485,0.03338,2.60552,1.77569,1.37258,0.000737037,0.000737037,0.000737037
19,1761.72,1.96779,1.54178,1.132,0.73249,0.17375,0.11556,0.03063,2.68617,1.80405,1.4047,0.00071504,0.00071504,0.00071504
20,1852.87,1.95923,1.5253,1.1248,0.72283,0.16274,0.1216,0.03541,2.60374,1.70187,1.35095,0.000693042,0.000693042,0.000693042
21,1943.15,1.95507,1.525,1.12942,0.77312,0.16903,0.13539,0.04031,2.55032,1.69888,1.33251,0.000671044,0.000671044,0.000671044
22,2034.11,1.95461,1.51009,1.1135,0.73768,0.16691,0.11353,0.03272,2.61694,1.7128,1.3518,0.000649046,0.000649046,0.000649046
23,2125.58,1.93074,1.48573,1.10784,0.74623,0.18228,0.12388,0.03476,2.67905,1.68806,1.40722,0.000627048,0.000627048,0.000627048
24,2216.3,1.92238,1.47696,1.11562,0.71415,0.14808,0.11317,0.03415,2.62043,1.68517,1.38142,0.000605051,0.000605051,0.000605051
25,2307.05,1.9167,1.46034,1.11546,0.74819,0.1907,0.1381,0.03899,2.57405,1.69144,1.35627,0.000583053,0.000583053,0.000583053
26,2398.14,1.90982,1.46071,1.11211,0.54702,0.15413,0.1498,0.03757,2.6824,1.71933,1.38419,0.000561055,0.000561055,0.000561055
27,2489.19,1.88611,1.46182,1.09539,0.53661,0.18667,0.14985,0.03815,2.62969,1.78442,1.36911,0.000539057,0.000539057,0.000539057
28,2580.16,1.85923,1.42796,1.10599,0.74828,0.14956,0.1178,0.03517,2.66368,1.67885,1.37616,0.000517059,0.000517059,0.000517059
29,2671.08,1.87114,1.42342,1.08954,0.76152,0.15126,0.12949,0.03434,2.74588,1.64849,1.42391,0.000495062,0.000495062,0.000495062
30,2762.15,1.86361,1.41305,1.09768,0.76705,0.15413,0.12869,0.03577,2.78876,1.63729,1.42571,0.000473064,0.000473064,0.000473064
31,2853.37,1.85284,1.41947,1.09843,0.79448,0.1543,0.1461,0.03632,2.71881,1.65696,1.41783,0.000451066,0.000451066,0.000451066
32,2944.71,1.86535,1.39586,1.07691,0.56444,0.1675,0.15148,0.03951,2.66847,1.65396,1.38903,0.000429068,0.000429068,0.000429068
33,3035.94,1.83399,1.37509,1.07931,0.76065,0.16468,0.14734,0.04139,2.67862,1.67838,1.40421,0.00040707,0.00040707,0.00040707
34,3126.54,1.83645,1.36809,1.08345,0.7527,0.18962,0.15194,0.04198,2.67239,1.66526,1.39938,0.000385073,0.000385073,0.000385073
35,3217.51,1.8301,1.36055,1.08978,0.55365,0.16984,0.15744,0.04066,2.81685,1.65377,1.47114,0.000363075,0.000363075,0.000363075
36,3308.91,1.79797,1.33147,1.08227,0.55118,0.16962,0.14821,0.0396,2.77314,1.69652,1.44818,0.000341077,0.000341077,0.000341077
37,3400.08,1.78874,1.3299,1.06961,0.76755,0.16685,0.15979,0.04077,2.70404,1.67274,1.42255,0.000319079,0.000319079,0.000319079
38,3508.07,1.77218,1.33397,1.07532,0.55026,0.18325,0.16036,0.03718,2.76862,1.66412,1.45462,0.000297081,0.000297081,0.000297081
39,3636.7,1.76166,1.30478,1.06665,0.80771,0.14244,0.17398,0.04508,2.59852,1.64771,1.38172,0.000275084,0.000275084,0.000275084
40,3766.59,1.78378,1.313,1.06187,0.75541,0.1844,0.17428,0.04772,2.64808,1.63288,1.40133,0.000253086,0.000253086,0.000253086
41,3888.05,1.78147,1.41552,1.10658,0.56562,0.17608,0.16277,0.04154,2.64058,1.72083,1.38324,0.000231088,0.000231088,0.000231088
42,4009.49,1.73189,1.3321,1.07909,0.34787,0.19819,0.1661,0.04589,2.60983,1.73737,1.38381,0.00020909,0.00020909,0.00020909
43,4130.38,1.72403,1.3115,1.09037,0.34933,0.17263,0.11651,0.03633,2.60626,1.74001,1.38897,0.000187092,0.000187092,0.000187092
44,4250.76,1.70811,1.28211,1.08193,0.55194,0.16729,0.13654,0.04062,2.58133,1.7279,1.37989,0.000165095,0.000165095,0.000165095
45,4380.91,1.69619,1.26456,1.08298,0.56221,0.1712,0.1466,0.04214,2.61328,1.69594,1.38476,0.000143097,0.000143097,0.000143097
46,4517.72,1.67303,1.24412,1.07286,0.354,0.16033,0.16015,0.04213,2.64203,1.71216,1.39412,0.000121099,0.000121099,0.000121099
47,4628.75,1.67185,1.23739,1.06661,0.76515,0.16408,0.15668,0.04632,2.59112,1.69745,1.37464,9.91012e-05,9.91012e-05,9.91012e-05
48,4713.75,1.6592,1.22778,1.06489,0.78039,0.16294,0.14573,0.04302,2.58259,1.66976,1.38213,7.71034e-05,7.71034e-05,7.71034e-05
49,4798.45,1.64602,1.21492,1.06185,0.57508,0.16067,0.1522,0.04443,2.59671,1.67536,1.39523,5.51056e-05,5.51056e-05,5.51056e-05
50,4890.05,1.63369,1.20782,1.04957,0.36993,0.16424,0.14102,0.04106,2.60855,1.68649,1.3973,3.31078e-05,3.31078e-05,3.31078e-05
